,/driver/blink/data,/driver/eye_open/data,/driver/eye_opening_rate/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/driver/gaze_horizontal/data,/driver/gaze_vertical/data,/gps_m2/distance/from_last_intersection/field_of_view,/gps_m2/distance/from_last_intersection/max_range,/gps_m2/distance/from_last_intersection/min_range,/gps_m2/distance/from_last_intersection/radiation_type,/gps_m2/distance/from_last_intersection/range,/gps_m2/distance/to_next_intersection/field_of_view,/gps_m2/distance/to_next_intersection/max_range,/gps_m2/distance/to_next_intersection/min_range,/gps_m2/distance/to_next_intersection/radiation_type,/gps_m2/distance/to_next_intersection/range,/gps_m2/link_id/data,/gps_m2/road/curvature/data,/gps_m2/road/intersection/data,/gps_m2/road/lanes/data,/gps_m2/road/traffic_light/data,/gps_m2/road/type/data,/gps_m2/road/width/data,/gps_m2/vehicle/acceleration/accel/linear/y,/gps_m2/vehicle/acceleration/accel/linear/x,/gps_m2/vehicle/acceleration/accel/linear/z,/gps_m2/vehicle/acceleration/accel/angular/y,/gps_m2/vehicle/acceleration/accel/angular/x,/gps_m2/vehicle/acceleration/accel/angular/z,/gps_m2/vehicle/back_state/data,/gps_m2/vehicle/direction/data,/gps_m2/vehicle/gnss/altitude,/gps_m2/vehicle/gnss/latitude,/gps_m2/vehicle/gnss/longitude,/gps_m2/vehicle/gnss/position_covariance_type,/gps_m2/vehicle/gnss_reliability/data,/gps_m2/vehicle/movement/data,/gps_m2/vehicle/pitch_angle/data,/gps_m2/vehicle/speed/data,/gps_m2/vehicle/turn_state/data,/gps_m2/vehicle/yaw_rate/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/mobileye/36/data,/mobileye/37/data,/mobileye/38/data,/mobileye/39/data,/mobileye/40/data,/mobileye/41/data,/mobileye/42/data,/mobileye/43/data,/mobileye/44/data,/mobileye/45/data,/mobileye/46/data,/mobileye/47/data,/mobileye/48/data,/mobileye/49/data,/mobileye/50/data,/mobileye/51/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance_type,/driver/heart_rate/data,/mobileye/05/data,/mobileye/1044/data,/mobileye/1045/data,/mobileye/1046/data,/mobileye/1047/data,/mobileye/1048/data,/mobileye/1049/data,/mobileye/1050/data,/mobileye/52/data,/mobileye/53/data,/mobileye/54/data,/mobileye/55/data,/mobileye/56/data,/mobileye/57/data,/mobileye/58/data,/mobileye/59/data,/mobileye/60/data,/mobileye/61/data,/mobileye/62/data,/mobileye/63/data,/mobileye/64/data,/mobileye/65/data,/mobileye/66/data,/mobileye/67/data,/mobileye/68/data,/mobileye/69/data,/mobileye/70/data,/mobileye/71/data,/mobileye/72/data,/mobileye/73/data,/mobileye/74/data,/mobileye/75/data,/mobileye/76/data,/mobileye/77/data,/mobileye/78/data,/mobileye/79/data,/mobileye/80/data,/mobileye/81/data,/mobileye/82/data,/mobileye/83/data,/mobileye/1051/data,/mobileye/1052/data,/mobileye/1053/data,/mobileye/1054/data,/mobileye/1055/data,/mobileye/1056/data,/mobileye/1057/data,/mobileye/100/data,/mobileye/101/data,/mobileye/102/data,/mobileye/103/data,/mobileye/104/data,/mobileye/105/data,/mobileye/1058/data,/mobileye/1059/data,/mobileye/106/data,/mobileye/1060/data,/mobileye/1061/data,/mobileye/1062/data,/mobileye/1063/data,/mobileye/1064/data,/mobileye/1065/data,/mobileye/1066/data,/mobileye/1067/data,/mobileye/1068/data,/mobileye/1069/data,/mobileye/107/data,/mobileye/1070/data,/mobileye/1071/data,/mobileye/1072/data,/mobileye/1073/data,/mobileye/1074/data,/mobileye/1075/data,/mobileye/1076/data,/mobileye/1077/data,/mobileye/1078/data,/mobileye/1079/data,/mobileye/108/data,/mobileye/1080/data,/mobileye/1081/data,/mobileye/1082/data,/mobileye/1083/data,/mobileye/1084/data,/mobileye/1085/data,/mobileye/109/data,/mobileye/110/data,/mobileye/111/data,/mobileye/112/data,/mobileye/113/data,/mobileye/114/data,/mobileye/115/data,/mobileye/116/data,/mobileye/117/data,/mobileye/118/data,/mobileye/119/data,/mobileye/120/data,/mobileye/121/data,/mobileye/122/data,/mobileye/123/data,/mobileye/124/data,/mobileye/125/data,/mobileye/126/data,/mobileye/127/data,/mobileye/128/data,/mobileye/129/data,/mobileye/130/data,/mobileye/131/data,/mobileye/84/data,/mobileye/85/data,/mobileye/86/data,/mobileye/87/data,/mobileye/88/data,/mobileye/89/data,/mobileye/90/data,/mobileye/91/data,/mobileye/92/data,/mobileye/93/data,/mobileye/94/data,/mobileye/95/data,/mobileye/96/data,/mobileye/97/data,/mobileye/98/data,/mobileye/99/data,/mobileye/1086/data,/mobileye/1087/data,/mobileye/1088/data,/mobileye/1089/data,/mobileye/1090/data,/mobileye/1091/data,/mobileye/1092/data,/mobileye/132/data,/mobileye/133/data,/mobileye/134/data,/mobileye/135/data,/mobileye/136/data,/mobileye/137/data,/mobileye/138/data,/mobileye/139/data,/mobileye/140/data,/mobileye/141/data,/mobileye/142/data,/mobileye/143/data,/mobileye/144/data,/mobileye/145/data,/mobileye/146/data,/mobileye/147/data,/mobileye/148/data,/mobileye/149/data,/mobileye/150/data,/mobileye/151/data,/mobileye/152/data,/mobileye/153/data,/mobileye/154/data,/mobileye/155/data,/mobileye/156/data,/mobileye/157/data,/mobileye/158/data,/mobileye/159/data,/mobileye/160/data,/mobileye/161/data,/mobileye/162/data,/mobileye/163/data,/mobileye/1093/data,/mobileye/1094/data,/mobileye/1095/data,/mobileye/1096/data,/mobileye/1097/data,/mobileye/1098/data,/mobileye/1099/data,/mobileye/1100/data,/mobileye/1101/data,/mobileye/1102/data,/mobileye/1103/data,/mobileye/1104/data,/mobileye/1105/data,/mobileye/1106/data,/mobileye/164/data,/mobileye/165/data,/mobileye/166/data,/mobileye/167/data,/mobileye/168/data,/mobileye/169/data,/mobileye/170/data,/mobileye/171/data,/mobileye/172/data,/mobileye/173/data,/mobileye/174/data,/mobileye/175/data,/mobileye/176/data,/mobileye/177/data,/mobileye/178/data,/mobileye/179/data,/mobileye/1107/data,/mobileye/1108/data,/mobileye/1109/data,/mobileye/1110/data,/mobileye/1111/data,/mobileye/1112/data,/mobileye/1113/data,/mobileye/1114/data,/mobileye/1115/data,/mobileye/1116/data,/mobileye/1117/data,/mobileye/1118/data,/mobileye/1119/data,/mobileye/1120/data,/mobileye/180/data,/mobileye/181/data,/mobileye/182/data,/mobileye/183/data,/mobileye/184/data,/mobileye/185/data,/mobileye/186/data,/mobileye/187/data,/mobileye/188/data,/mobileye/189/data,/mobileye/190/data,/mobileye/191/data,/mobileye/192/data,/mobileye/193/data,/mobileye/194/data,/mobileye/195/data,/mobileye/196/data,/mobileye/197/data,/mobileye/198/data,/mobileye/199/data,/mobileye/200/data,/mobileye/201/data,/mobileye/202/data,/mobileye/203/data,/mobileye/204/data,/mobileye/205/data,/mobileye/206/data,/mobileye/207/data,/mobileye/208/data,/mobileye/209/data,/mobileye/210/data,/mobileye/211/data
min_value,1.0,1.0,-9.300000190734863,-68.0999984741211,-58.0,-89.80000305175781,-113.16000366210938,-65.16999816894531,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-4.2,-19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8271343,129.6473166,0.0,0.0,-0.25,-6.900000095367432,0.0,0.0,-41.0,0.0,0.0,-10.0,-9.960000038146973,-0.027921676635742188,-0.0009765625,-0.12484607845544815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-2048.0,0.02631578966975212,0.0,0.0,0.875,-2048.0,0.0,0.0,-51.25,0.0,0.0,0.0,-1.0,0.15000000596046448,1.0,0.0,-2048.0,0.0,-45.58000183105469,0.0,0.5625,-2048.0,0.0,0.0,-46.4375,0.0,0.0,0.0,-1.0,0.15000000596046448,1.0,0.0,-2048.0,0.0,-80.87000274658203,-1.082,-1.031,0.066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-672.0,0.0,32.830575,129.64514666666668,0.0,42.0,1.0,0.0,1.0,0.3125,-22.1875,0.05140186846256256,1.0,0.0,0.0,0.0625,-25.0,0.0,0.0,-52.6875,0.0,0.0,0.0,-1.0,0.20000000298023224,1.0,0.0,-2048.0,0.0,-88.45999908447266,0.0,5.25,-25.0,0.0,0.0,-40.75,0.0,0.0,0.0,-1.0,0.25,1.0,0.0,-2048.0,0.0,-32.97999954223633,0.0,1.0,0.625,-21.3125,0.11999999731779099,1.0,0.0,0.0,8.4375,-24.75,0.0,0.0,-26.5,0.0,1.0,0.0,1.625,-19.5625,0.3916666805744171,1.0,0.0,0.0,1.0,2.75,-17.0,0.7624633312225342,0.0,1.0,0.0,0.0,1.0,6.125,-16.1875,0.9417475461959839,1.0,0.0,0.0,0.0,1.0,7.25,-15.1875,1.6243654489517212,1.0,0.0,-1.0,0.6000000238418579,1.0,0.0,-2048.0,0.0,-19.760000228881836,0.0,28.5625,-25.0,0.0,0.0,-24.625,0.0,0.0,0.0,-1.0,0.5,1.0,0.0,-2048.0,0.0,-16.020000457763672,0.0,7.25,-25.0,0.0,0.0,-33.875,0.0,0.0,0.0,-1.0,0.44999998807907104,1.0,0.0,-2048.0,0.0,-19.610000610351562,0.0,1.0,10.0625,-13.125,3.507936477661133,1.0,0.0,5.0,28.1875,-16.0,0.0,0.0,-11.1875,0.0,0.0,0.0,-1.0,1.350000023841858,1.0,0.0,-2048.0,0.0,-16.59000015258789,3.0,21.125,-12.5,0.0,0.0,-7.6875,0.0,0.0,0.0,-1.0,1.350000023841858,1.0,0.0,-2048.0,0.0,-13.699999809265137,1.0,1.0,18.6875,-12.0,4.17218542098999,1.0,0.0,2.0,1.0,15.6875,-11.0,4.340579509735107,1.0,0.0,3.0,38.875,-11.625,0.0,0.0,-7.0,0.0,0.0,0.0,-1.0,1.5,1.0,0.0,-2048.0,0.0,-12.949999809265137,8.0,1.0,20.4375,2.6875,4.037036895751953,1.0,0.0,33.0,1.0,17.875,2.3125,250.0,1.0,0.0,14.0,39.5625,-11.125,0.0,0.0,-7.0,0.0,0.0,0.0,-1.0,1.5,3.0,0.0,-2048.0,0.0,-11.710000038146973,38.0,62.0625,-7.625,0.0,0.0,-5.8125,0.0,0.0,0.0,-1.0,1.649999976158142,1.0,0.0,-2048.0,0.0,-7.019999980926514
max_value,1.0,2.0,24.799999237060547,69.19999694824219,43.400001525878906,89.0999984741211,136.52999877929688,67.83999633789062,0,0,0,0,12860.9404296875,0,0,0,0,5878.27001953125,607921552.0,0.03996000066399574,1.0,10.0,1.0,63.0,9.0,4.0,3.1,0,0,0,0,1.0,359.8999938964844,0,42.9259863,143.5003353,0,2.0,51.5,10.100000381469727,890.3599853515625,2.0,42.900001525878906,5.0,5.0,10.0,9.979999542236328,0.035675048828125,0,0.015841979533433914,6.0,2.5,2.0,12.0,0,1.0,1.0,234.3125,0,2834.0,4.0,63.0,234.3125,31.9375,0,4.0,127.9375,2.0,5.0,1.0,0,2.9000000953674316,254.0,2.0,0,15.329999923706055,46.470001220703125,63.0,229.375,31.9375,0,0,127.9375,2.0,5.0,1.0,0,3.0999999046325684,254.0,2.0,0,15.329999923706055,53.77000045776367,1.945,1.164,2.0,0,0,0,1.0,1.0,120.0,3.0,15.576000213623047,95.0,3.0,1.0,120.0,670.5,0,42.930645000000005,143.50714666666664,0,197.0,254.0,63.0,2.0,78.25,17.875,250.0,254.0,0,63.0,191.3125,25.1875,0,0,43.0,2.0,5.0,1.0,0,2.799999952316284,254.0,2.0,0,15.329999923706055,34.65999984741211,63.0,190.1875,25.0,0,0,35.4375,2.0,5.0,1.0,0,2.75,254.0,2.0,0,15.329999923706055,26.049999237060547,63.0,2.0,76.3125,20.4375,250.0,254.0,0,63.0,177.75,25.0,0,0,27.625,63.0,2.0,2.0,76.9375,19.875,250.0,254.0,0,63.0,2.0,77.1875,17.875,250.0,5.0,191.0,0,63.0,2.0,71.6875,21.0625,250.0,160.0,0,63.0,0,2.0,78.4375,22.5625,250.0,99.0,0,0,2.6500000953674316,254.0,2.0,0,15.329999923706055,24.469999313354492,63.0,171.375,25.0,0,0,17.75,2.0,5.0,0,0,2.5999999046325684,254.0,2.0,0,15.329999923706055,18.84000015258789,63.0,178.375,25.0,0,0,30.75,2.0,5.0,0,0,2.799999952316284,254.0,2.0,0,15.329999923706055,20.739999771118164,62.0,2.0,84.125,23.1875,250.0,85.0,0,60.0,132.25,25.0,0,0,16.75,1.0,5.0,0,0,2.299999952316284,254.0,2.0,0,15.329999923706055,15.149999618530273,60.0,124.625,25.0,0,0,15.8125,1.0,5.0,0,0,2.5,254.0,2.0,0,15.329999923706055,13.800000190734863,62.0,2.0,72.875,12.25,250.0,71.0,0,57.0,2.0,49.5,13.125,250.0,57.0,0,60.0,121.375,25.0,0,0,15.5625,1.0,4.0,0,0,2.5,254.0,2.0,0,15.329999923706055,13.220000267028809,28.0,1.0,40.875,12.125,250.0,66.0,0,53.0,1.0,44.125,5.1875,250.0,31.0,0,60.0,119.4375,23.125,0,0,14.75,0,4.0,0,0,1.7999999523162842,254.0,0,0,15.300000190734863,10.079999923706055,41.0,124.8125,15.375,0,0,2.6875,0,0,0,0,1.649999976158142,2.0,0,0,15.329999923706055,7.019999980926514
type,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>,<class 'numpy.float64'>
isnumber,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
