,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/gps_m2/vehicle/gnss/altitude,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/gnss/latitude,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/gnss/longitude,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/gnss/position_covariance_type,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/gnss_reliability/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/movement/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/pitch_angle/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/speed/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/turn_state/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/gps_m2/vehicle/yaw_rate/data,0.9237,0.864,0.9,0.936,0.9624,0.916,0.9123,0.928,1.0,0.9237,0.9274,0.8914,0.8864,0.8191,0.9095,-190.87619999999998
/mobileye/01/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/02/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/03/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/04/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/06/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/07/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/08/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/09/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/10/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/11/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/12/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/13/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/14/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/15/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/16/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/17/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/18/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/19/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/20/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/21/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/22/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/23/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/mobileye/24/data,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
