,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
/driver/blink/data,0.0,0.0,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417,-191.744
/driver/eye_open/data,0.012,0.028,0.0,0.004,0.0,0.016,0.0,0.016,0.0208,0.1566,0.0242,0.0,0.0114,0.0319,0.0268,-191.75889999999998
/driver/eye_opening_rate/data,0.0241,0.036,0.012,0.036,0.0,0.072,0.0175,0.028,0.0,0.0361,0.0242,0.0229,0.0,0.0426,0.0298,-191.7559
/driver/face_pitch/data,0.0723,0.044,0.06,0.036,0.0,0.068,0.0,0.02,0.0208,0.0924,0.0685,0.0286,0.0,0.0532,0.0488,-191.7369
/driver/face_roll/data,0.0522,0.052,0.06,0.032,0.015,0.044,0.0,0.056,0.0417,0.0442,0.0565,0.0171,0.0455,0.0479,0.0443,-191.7414
/driver/face_yaw/data,0.0643,0.036,0.056,0.084,0.0226,0.112,0.0,0.072,0.0208,0.0643,0.0645,0.04,0.0114,0.0904,0.0622,-191.7235
/driver/gaze_horizontal/data,0.0321,0.04,0.028,0.08,0.0075,0.052,0.0175,0.024,0.0,0.0361,0.0242,0.0229,0.0,0.0266,0.0335,-191.7522
/driver/gaze_vertical/data,0.0241,0.044,0.02,0.028,0.015,0.036,0.0175,0.028,0.0,0.0321,0.0202,0.0114,0.0114,0.0266,0.0257,-191.76
/gps_m2/distance/from_last_intersection/field_of_view,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.7857
/gps_m2/distance/from_last_intersection/max_range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.7857
/gps_m2/distance/from_last_intersection/min_range,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.7857
/gps_m2/distance/from_last_intersection/radiation_type,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-191.7857
