n,MSE,mean_corr,std_corr,min,n_under_0.9,n_under_0.8,n_under_0.7,n_under_0.5
50,8385.166525203476,0.9618066715039305,0.09344798626992847,-0.9819805370305267,6827,4170,2733,1367
75,2655.5970377366566,0.9907254444524437,0.03694674114307767,-0.4438459556691607,2508,1211,573,182
100,1207.744804190448,0.9947596800196127,0.026412705951048106,-0.09759000729485333,1464,696,343,93
125,875.3227371501955,0.9959986904987432,0.02099232945349453,-0.022222222222222216,1182,538,248,74
150,967.4083845720857,0.9964968553157244,0.01920097481059294,-0.019466113720769545,1029,440,183,64
175,719.8070687969058,0.9974119499911808,0.014896630253531934,-0.13201574953016634,717,321,158,60
200,494.20521248001313,0.9980546282080296,0.011369469169300452,-0.017543859649122803,549,197,97,34
