n,mean_size_diff,max_size_diff,std_size_diff,MSE,mean_corr,std_corr,min,n_under_0.9,n_under_0.8,n_under_0.7,n_under_0.5
50,0.5161290322580645,True,0.49973978660740875,1154.9056688801024,0.9632302341890275,0.09549154103941217,0.009127112186854523,678,445,314,149
75,0.5806451612903226,True,0.4934535013154307,875.2109430669298,0.9903509057602002,0.038457759758890854,0.007098628499999472,263,127,60,19
100,0.5806451612903226,True,0.4934535013154307,298.47614068599637,0.9951754007200271,0.02499661872430714,0.005737186497768233,149,67,36,7
125,0.5161290322580645,True,0.49973978660740875,46.51749278041122,0.9966099316219332,0.0175176938687351,0.2346631564653492,105,44,21,3
150,0.5645161290322581,True,0.49582019835288377,63.9640622534663,0.9969307511209244,0.01732780547410816,0.004048582995951418,95,37,12,5
175,0.5645161290322581,True,0.49582019835288377,56.262680048635964,0.9975237911558031,0.014281904912861174,0.005784116644135217,68,31,16,6
200,0.5161290322580645,True,0.49973978660740875,35.64971556426822,0.99830499102589,0.01001592292830853,0.005784116644135217,53,12,6,3
