,n_present,mean,median,std
/driver/blink,2167.0,138.06460544531612,178.0,57.478147189650876
/driver/eye_open,1701.0,110.08406819517931,124.0,61.66912611639698
/driver/eye_opening_rate,1701.0,110.08406819517931,124.0,61.66912611639698
/driver/face_pitch,2188.0,141.70932358318097,178.0,55.65281976837603
/driver/face_roll,2188.0,141.70932358318097,178.0,55.65281976837603
/driver/face_yaw,2188.0,141.70932358318097,178.0,55.65281976837603
/driver/gaze_horizontal,1860.0,99.38387096774194,108.0,55.3236417027311
/driver/gaze_vertical,1860.0,99.38387096774194,108.0,55.3236417027311
/gps_m2/distance/from_last_intersection,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/distance/to_next_intersection,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/link_id,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/curvature,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/intersection,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/lanes,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/traffic_light,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/type,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/road/width,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/acceleration,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/back_state,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/direction,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/gnss,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/gnss_reliability,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/movement,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/pitch_angle,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/speed,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/turn_state,2442.0,58.98116298116298,59.0,0.9306707437242242
/gps_m2/vehicle/yaw_rate,2442.0,58.98116298116298,59.0,0.9306707437242242
/mobileye/01,2570.0,61.43774319066148,61.0,6.619054527993767
/mobileye/02,2570.0,61.43774319066148,61.0,6.619054527993767
/mobileye/03,2570.0,61.43774319066148,61.0,6.619054527993767
/mobileye/04,2570.0,61.43774319066148,61.0,6.619054527993767
/mobileye/06,2570.0,61.3307392996109,61.0,6.611123499689312
/mobileye/07,2570.0,61.3307392996109,61.0,6.611123499689312
/mobileye/08,2570.0,61.3307392996109,61.0,6.611123499689312
/mobileye/09,2570.0,61.3307392996109,61.0,6.611123499689312
/mobileye/10,2570.0,61.43579766536965,61.0,6.619682554803959
/mobileye/11,2570.0,61.43579766536965,61.0,6.619682554803959
/mobileye/12,2570.0,61.338132295719845,61.0,6.616956258761106
/mobileye/13,2570.0,61.338132295719845,61.0,6.616956258761106
/mobileye/14,2570.0,61.338132295719845,61.0,6.616956258761106
/mobileye/15,2570.0,61.338132295719845,61.0,6.616956258761106
/mobileye/16,2187.0,48.352537722908096,55.0,16.81575558111781
/mobileye/17,2187.0,48.352537722908096,55.0,16.81575558111781
/mobileye/18,2187.0,48.352537722908096,55.0,16.81575558111781
/mobileye/19,2187.0,48.352537722908096,55.0,16.81575558111781
/mobileye/20,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/21,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/22,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/23,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/24,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/25,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/26,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/27,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/28,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/29,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/30,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/31,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/32,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/33,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/34,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/35,1852.0,42.172786177105834,50.0,18.324921782314103
/mobileye/36,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/37,1416.0,32.24929378531073,32.0,19.03451739888893
/mobileye/38,1416.0,32.24929378531073,32.0,19.03451739888893
