,/driver/blink/data,/driver/face_pitch/data,/driver/face_roll/data,/driver/face_yaw/data,/mobileye/01/data,/mobileye/02/data,/mobileye/03/data,/mobileye/04/data,/mobileye/06/data,/mobileye/07/data,/mobileye/08/data,/mobileye/09/data,/mobileye/10/data,/mobileye/11/data,/mobileye/12/data,/mobileye/13/data,/mobileye/14/data,/mobileye/15/data,/mobileye/16/data,/mobileye/17/data,/mobileye/18/data,/mobileye/19/data,/mobileye/20/data,/mobileye/21/data,/mobileye/22/data,/mobileye/23/data,/mobileye/24/data,/mobileye/25/data,/mobileye/26/data,/mobileye/27/data,/mobileye/28/data,/mobileye/29/data,/mobileye/30/data,/mobileye/31/data,/mobileye/32/data,/mobileye/33/data,/mobileye/34/data,/mobileye/35/data,/vehicle/acceleration/accel/linear/y,/vehicle/acceleration/accel/linear/x,/vehicle/acceleration/accel/linear/z,/vehicle/acceleration/accel/angular/y,/vehicle/acceleration/accel/angular/x,/vehicle/acceleration/accel/angular/z,/vehicle/analog/back_signal/data,/vehicle/analog/brake_signal/data,/vehicle/analog/speed_pulse/data,/vehicle/analog/turn_signal/data,/vehicle/extracted_can/brake_pedal_hydraulic/data,/vehicle/extracted_can/gas_pedal_position/data,/vehicle/extracted_can/headlight_state/data,/vehicle/extracted_can/seat_belt_state/data,/vehicle/extracted_can/speed/data,/vehicle/extracted_can/steering_angle/data,/vehicle/gnss/altitude,/vehicle/gnss/latitude,/vehicle/gnss/longitude,/vehicle/gnss/position_covariance,/vehicle/gnss/position_covariance_type,/vehicle/gnss/status
2017-01-22 08:39:58.319999933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-78.0,,,,,,
2017-01-22 08:39:58.339999914,,,,,2.0,2.0,-1.7999999523162842,0.9599999785423279,0.0063877105712890625,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,40.125,-2048.0,250.0,0.0,8.0,40.125,4.25,0.0,0.0,10.25,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,15.029999732971191,-6.099999904632568,,,,,,,,,,,0.31200000643730164,0.0,,False,,-79.5,,,,,,
2017-01-22 08:39:58.349999904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,11.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:58.359999895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-81.0,,,,,,
2017-01-22 08:39:58.380000114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-84.0,,,,,,
2017-01-22 08:39:58.400000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.102,0.008,0.996,0.0,0.0,0.0,False,True,11.0,2.0,0.31200000643730164,0.0,,,,-85.5,,,,,,
2017-01-22 08:39:58.420000076,,,,,2.0,2.0,-1.7999999523162842,0.9599999785423279,0.0058040618896484375,0.0,-0.12484607845544815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.5,-2048.0,250.0,0.0,8.0,41.5,4.5,0.0,0.0,10.5,0.0,3.0,0.0,-1.0,1.399999976158142,254.0,2.0,-2048.0,15.029999732971191,-6.230000019073486,,,,,,,,,,,0.31200000643730164,0.0,,,,-85.5,,,,,,
2017-01-22 08:39:58.440000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-87.0,,,,,,
2017-01-22 08:39:58.450000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,9.0,2.0,,,,,,,,,,,,
2017-01-22 08:39:58.460000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31200000643730164,0.0,,,,-87.0,,,,,,
