n,mean_size_diff,max_size_diff,std_size_diff,MSE,mean_corr,std_corr,min,n_under_0.9,n_under_0.8,n_under_0.7,n_under_0.5
50,0.02702702702702703,True,0.1621621621621622,29651611400707.855,0.9616908150245581,0.09485716648878025,1.1122474982989717e-13,3397,2129,1401,723
75,0.45045045045045046,True,0.4975387845579847,1618.4134747445119,0.9902308846222452,0.03858009555088664,0.0015873015873016257,1251,648,313,114
100,0.45045045045045046,True,0.4975387845579847,628.8259799339692,0.994662163928003,0.027076009147115675,0.002402263421902625,741,363,184,62
125,0.02702702702702703,True,0.1621621621621622,600.6786248626377,0.9959003744224219,0.021778929761643688,0.005831853958022402,601,276,133,38
150,0.43243243243243246,True,0.4954135886438747,650.0504508856856,0.9964573141363303,0.01985013956152824,5.743626160216786e-14,488,228,115,38
175,0.43243243243243246,True,0.4954135886438747,388.7143558002164,0.9973459018974193,0.015525754897773712,0.004048582995951418,375,185,91,30
200,0.02702702702702703,True,0.1621621621621622,413.304237745133,0.9979132324357919,0.012518436017316685,6.336145717040254e-09,301,117,59,22
