n,MSE,mean_corr,std_corr,min,n_under_0.9,n_under_0.8,n_under_0.7,n_under_0.5
50,790.7466464534467,0.967997338383657,0.08326329516333597,-0.38356659692986983,359,211,140,68
75,64.23268423606352,0.9902375725498725,0.03796628830289017,-0.11764705882352919,134,63,27,6
100,21.970547721427224,0.9947747173528925,0.02570249955640694,0.3127207100262925,72,37,15,2
125,17.390361176007147,0.9966197814704719,0.018822300152399357,0.22798963571277592,56,23,5,3
150,16.220058003969026,0.997185236544707,0.015156655496267926,0.4439229280357775,40,14,3,2
175,19.00529889219669,0.9973993603065833,0.014873660270158422,0.4212461325192545,40,17,6,3
200,12.622888641970933,0.9983137818973538,0.010588569218374155,0.22798963571277592,21,8,4,2
